Configuration,Kernel,Branch Efficiency,Warp Execution Efficiency,Global Load Efficiency,Shared Memory Efficiency,Stalls Execution Dependency,Stalls Memory Dependency,Stalls Other,Stalls Fetch
without_feasible,brute_force,,,,,,,,
without_feasible,brute_force_AL,,,,,,,,
without_feasible,reduce_argmin,,,,,,,,
shared_mem,brute_force,,,,,,,,
shared_mem,brute_force_AL,,,,,,,,
shared_mem,reduce_argmin,,,,,,,,
const_mem,brute_force,,,,,,,,
const_mem,brute_force_AL,,,,,,,,
const_mem,reduce_argmin,,,,,,,,
no_mult,brute_force,,,,,,,,
no_mult,brute_force_AL,,,,,,,,
no_mult,reduce_argmin,,,,,,,,
coarsening,brute_force,,,,,,,,
coarsening,brute_force_AL,,,,,,,,
coarsening,reduce_argmin,,,,,,,,
argmin_rec,brute_force,,,,,,,,
argmin_rec,brute_force_AL,,,,,,,,
argmin_rec,reduce_argmin,,,,,,,,
main,brute_force,,,,,,,,
main,brute_force_AL,,,,,,,,
main,reduce_argmin,,,,,,,,
